Sr.No,Institute,Exam,Program,Category,Opening Rank,Closing Rank
1,VJTI Mumbai,MAH-MCA-CET,MCA,General,30,95
2,VJTI Mumbai,MAH-MCA-CET,MCA,OBC,110,180
3,VJTI Mumbai,MAH-MCA-CET,MCA,SC,150,250
4,VJTI Mumbai,MAH-MCA-CET,MCA,EWS,40,105
5,VJTI Mumbai,MAH-MCA-CET,MCA,General,45,115
6,VJTI Mumbai,MAH-MCA-CET,MCA,General,55,130
7,VJTI Mumbai,MAH-MCA-CET,MCA,General,40,100
8,VJTI Mumbai,MAH-MCA-CET,MCA,General,65,160
9,SPIT Mumbai,MAH-MCA-CET,MCA,General,150,320
10,SPIT Mumbai,MAH-MCA-CET,MCA,OBC,300,450
11,SPIT Mumbai,MAH-MCA-CET,MCA,General,180,350
12,SPIT Mumbai,MAH-MCA-CET,MCA,General,200,380
13,SPIT Mumbai,MAH-MCA-CET,MCA,General,250,450
14,SPPU (PUCSD),MAH-MCA-CET,MCA,General,250,410
15,SPPU (PUCSD),MAH-MCA-CET,MCA,OBC,400,650
16,SPPU (PUCSD),MAH-MCA-CET,MCA,EWS,300,480
17,SPPU (PUCSD),MAH-MCA-CET,MCA,General,350,520
18,VESIT Mumbai,MAH-MCA-CET,MCA,General,600,950
19,VESIT Mumbai,MAH-MCA-CET,MCA,Minority,1200,4500
20,VESIT Mumbai,MAH-MCA-CET,MCA,General,750,1100
21,PCCOE Pune,MAH-MCA-CET,MCA,General,800,1450
22,PCCOE Pune,MAH-MCA-CET,MCA,OBC,1100,2200
23,PCCOE Pune,MAH-MCA-CET,MCA,General,1500,3200
24,SIES Mumbai,MAH-MCA-CET,MCA,General,850,1300
25,SIES Mumbai,MAH-MCA-CET,MCA,General,700,1100
26,SIES Mumbai,MAH-MCA-CET,MCA,General,300,450
27,PRMITR Amrav,MAH-MCA-CET,MCA,General,3500,5500
28,PRMITR Amrav,MAH-MCA-CET,MCA,AI,3200,4800
29,PRMITR Amrav,MAH-MCA-CET,MCA,EWS,4000,6000
30,PRMITR Amrav,MAH-MCA-CET,MCA,General,5500,8500
31,GCE Aurangaba,MAH-MCA-CET,MCA,General,1800,2500
32,GCE Aurangaba,MAH-MCA-CET,MCA,OBC,2200,3100
33,M.S. Bidve Latur,MAH-MCA-CET,MCA,General,4500,7000
34,M.S. Bidve Latur,MAH-MCA-CET,MCA,OBC,6000,11000
35,JDCOEM Nagpu,MAH-MCA-CET,MCA,General,7000,12000
36,JDCOEM Nagpu,MAH-MCA-CET,MCA,TFWS,5000,9000
37,VJTI Mumbai,MAH-MCA-CET,MCA,ST,1200,1850
38,VJTI Mumbai,MAH-MCA-CET,MCA,NT-D,250,450
39,VJTI Mumbai,MAH-MCA-CET,MCA,PwD,1500,2200
40,SPIT Mumbai,MAH-MCA-CET,MCA,EWS,400,650
41,SPIT Mumbai,MAH-MCA-CET,MCA,SC,800,1200
42,VESIT Mumbai,MAH-MCA-CET,MCA,OBC,1500,2400
43,VESIT Mumbai,MAH-MCA-CET,MCA,TFWS,250,450
44,SPPU Pune,MAH-MCA-CET,MCA,ST,5000,8500
45,SPPU Pune,MAH-MCA-CET,MCA,General,280,450
46,SPPU Pune,MAH-MCA-CET,MCA,General,320,500
47,SPPU Pune,MAH-MCA-CET,MCA,General,400,580
48,PCCOE Pune,MAH-MCA-CET,MCA,EWS,1500,2500
49,PCCOE Pune,MAH-MCA-CET,MCA,General,900,1600
50,PCCOE Pune,MAH-MCA-CET,MCA,General,1000,1800
51,PCCOE Pune,MAH-MCA-CET,MCA,General,1150,2000
52,PICT Pune,MAH-MCA-CET,MCA,General,1200,1900
53,PICT Pune,MAH-MCA-CET,MCA,General,1350,2100
54,PICT Pune,MAH-MCA-CET,MCA,General,1500,2300
55,PICT Pune,MAH-MCA-CET,MCA,General,1700,2600
56,PICT Pune,MAH-MCA-CET,MCA,General,2000,3000
57,MET Mumbai,MAH-MCA-CET,MCA,General,2200,3400
58,MET Mumbai,MAH-MCA-CET,MCA,OBC,2800,4200
59,MET Mumbai,MAH-MCA-CET,MCA,EWS,3000,4500
60,Thakur Inst,MAH-MCA-CET,MCA,General,2500,3800
61,Thakur Inst,MAH-MCA-CET,MCA,General,1800,2800
62,Thakur Inst,MAH-MCA-CET,MCA,General,800,1200
63,VBMV Amravati,MAH-MCA-CET,MCA,General,5500,8500
64,VBMV Amravati,MAH-MCA-CET,MCA,OBC,7000,10500
65,VP IT Baramati,MAH-MCA-CET,MCA,AI,4919,8000
66,RSCE Pune,MAH-MCA-CET,MCA,General,2400,3600
67,Modern COE,MAH-MCA-CET,MCA,General,2000,3200
68,Modern COE,MAH-MCA-CET,MCA,OBC,2800,4000
69,SIES Mumbai,MAH-MCA-CET,MCA,Tamil Min,4000,9500
70,GCE Aurangaba,MAH-MCA-CET,MCA,General,1832,3000
71,Dnyanopasak,MAH-MCA-CET,MCA,General,8000,15000
72,Kamla Nehru,MAH-MCA-CET,MCA,General,6000,9500
73,DY Patil Chikh,MAH-MCA-CET,MCA,AI,6511,9500
74,ASMS Pune,MAH-MCA-CET,MCA,AI,4967,8500
75,Jay Bhavani,MAH-MCA-CET,MCA,AI,15798,20000
76,Godavari Inst,MAH-MCA-CET,MCA,AI,18231,25000
